,predicted,ground_truth
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,crabeater,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,crabeater,crabeater
7,crabeater,crabeater
0,crabeater,crabeater
1,crabeater,crabeater
2,crabeater,crabeater
3,pack-ice,crabeater
4,crabeater,crabeater
5,crabeater,crabeater
6,pack-ice,crabeater
7,crabeater,crabeater
0,pack-ice,crabeater
1,crabeater,crabeater
2,glacier,crack
3,crack,crack
4,crack,crack
5,marching-emperor,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,glacier,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,ice-sheet,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,marching-emperor,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,ice-sheet,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,glacier,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,glacier,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,ice-sheet,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,crack,crack
6,crack,crack
7,crack,crack
0,crack,crack
1,crack,crack
2,crack,crack
3,crack,crack
4,crack,crack
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,marching-emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,emperor,emperor
3,emperor,emperor
4,emperor,emperor
5,emperor,emperor
6,emperor,emperor
7,emperor,emperor
0,emperor,emperor
1,emperor,emperor
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,ice-sheet,glacier
4,ice-sheet,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
1,glacier,glacier
2,glacier,glacier
3,glacier,glacier
4,glacier,glacier
5,glacier,glacier
6,glacier,glacier
7,glacier,glacier
0,glacier,glacier
